customer_id,segment_true,region,signup_date
CUST00001,Occasional,Hyderabad,2024-08-10
CUST00002,Regular,Bengaluru,2024-07-18
CUST00003,One-time,Delhi NCR,2024-02-01
CUST00004,Occasional,Hyderabad,2024-02-22
CUST00005,Loyal,Mumbai,2024-09-17
CUST00006,One-time,Hyderabad,2024-09-06
CUST00007,Occasional,Bengaluru,2024-08-31
CUST00008,Occasional,Mumbai,2024-03-09
CUST00009,Loyal,Mumbai,2024-08-11
CUST00010,Regular,Hyderabad,2024-01-27
CUST00011,Regular,Delhi NCR,2024-03-04
CUST00012,One-time,Chennai,2024-08-06
CUST00013,Occasional,Hyderabad,2024-09-27
CUST00014,One-time,Pune,2024-10-14
CUST00015,Regular,Delhi NCR,2025-03-06
CUST00016,Regular,Pune,2025-01-09
CUST00017,Occasional,Kolkata,2024-06-15
CUST00018,Loyal,Mumbai,2024-12-08
CUST00019,One-time,Delhi NCR,2024-02-11
CUST00020,Occasional,Delhi NCR,2025-01-10
CUST00021,Occasional,Delhi NCR,2024-06-18
CUST00022,Regular,Hyderabad,2024-11-28
CUST00023,One-time,Bengaluru,2025-03-01
CUST00024,One-time,Bengaluru,2024-11-04
CUST00025,Occasional,Delhi NCR,2025-02-07
CUST00026,Regular,Mumbai,2024-01-05
CUST00027,Regular,Delhi NCR,2024-03-15
CUST00028,Loyal,Chennai,2024-10-01
CUST00029,Regular,Pune,2024-08-24
CUST00030,Occasional,Delhi NCR,2024-02-22
CUST00031,Occasional,Hyderabad,2024-11-10
CUST00032,One-time,Mumbai,2024-01-26
CUST00033,Regular,Delhi NCR,2025-03-09
CUST00034,Regular,Delhi NCR,2024-03-09
CUST00035,Regular,Kolkata,2024-07-14
CUST00036,Regular,Pune,2024-12-26
CUST00037,Loyal,Pune,2024-08-13
CUST00038,Regular,Mumbai,2024-11-21
CUST00039,Regular,Mumbai,2024-11-04
CUST00040,Occasional,Pune,2025-02-19
CUST00041,Regular,Delhi NCR,2024-07-22
CUST00042,One-time,Chennai,2025-03-04
CUST00043,Occasional,Hyderabad,2024-08-14
CUST00044,Regular,Bengaluru,2025-01-26
CUST00045,One-time,Hyderabad,2024-11-16
CUST00046,One-time,Kolkata,2024-02-28
CUST00047,Regular,Bengaluru,2024-10-08
CUST00048,Regular,Pune,2025-01-19
CUST00049,Occasional,Chennai,2024-02-26
CUST00050,Loyal,Delhi NCR,2025-01-02
CUST00051,Regular,Chennai,2024-02-16
CUST00052,Loyal,Mumbai,2025-01-16
CUST00053,Occasional,Pune,2024-12-11
CUST00054,Occasional,Hyderabad,2024-03-07
CUST00055,Occasional,Pune,2024-11-14
CUST00056,Occasional,Bengaluru,2024-02-21
CUST00057,Regular,Pune,2024-09-05
CUST00058,Occasional,Mumbai,2025-02-08
CUST00059,Loyal,Mumbai,2024-03-31
CUST00060,Loyal,Delhi NCR,2024-03-17
CUST00061,Occasional,Bengaluru,2024-07-04
CUST00062,Regular,Bengaluru,2024-06-10
CUST00063,Occasional,Delhi NCR,2024-01-22
CUST00064,Occasional,Chennai,2024-07-18
CUST00065,Occasional,Delhi NCR,2024-04-23
CUST00066,Occasional,Bengaluru,2024-02-24
CUST00067,Occasional,Delhi NCR,2024-04-30
CUST00068,Regular,Mumbai,2024-01-10
CUST00069,Loyal,Hyderabad,2025-02-04
CUST00070,Regular,Bengaluru,2025-03-11
CUST00071,Regular,Mumbai,2024-06-10
CUST00072,Regular,Kolkata,2025-01-18
CUST00073,One-time,Hyderabad,2024-07-21
CUST00074,Regular,Hyderabad,2025-02-03
CUST00075,Loyal,Chennai,2024-03-16
CUST00076,Regular,Chennai,2024-05-04
CUST00077,Regular,Delhi NCR,2024-11-20
CUST00078,Occasional,Pune,2024-04-06
CUST00079,Occasional,Pune,2024-12-26
CUST00080,Occasional,Delhi NCR,2024-07-05
CUST00081,Occasional,Delhi NCR,2024-06-25
CUST00082,Regular,Mumbai,2024-07-17
CUST00083,One-time,Pune,2024-12-15
CUST00084,Regular,Hyderabad,2024-01-03
CUST00085,Loyal,Hyderabad,2024-11-24
CUST00086,Loyal,Delhi NCR,2024-12-07
CUST00087,Occasional,Mumbai,2024-12-25
CUST00088,Regular,Bengaluru,2025-03-12
CUST00089,Regular,Bengaluru,2024-12-08
CUST00090,Occasional,Chennai,2024-08-19
CUST00091,Regular,Chennai,2024-07-23
CUST00092,Occasional,Chennai,2024-06-19
CUST00093,Regular,Chennai,2024-12-28
CUST00094,Regular,Kolkata,2024-06-21
CUST00095,Regular,Bengaluru,2024-09-07
CUST00096,Occasional,Mumbai,2024-02-12
CUST00097,Regular,Mumbai,2024-05-18
CUST00098,Loyal,Delhi NCR,2024-04-26
CUST00099,Loyal,Delhi NCR,2024-07-09
CUST00100,One-time,Mumbai,2024-08-07
CUST00101,One-time,Kolkata,2024-11-09
CUST00102,Occasional,Mumbai,2024-07-08
CUST00103,Regular,Kolkata,2024-03-06
CUST00104,One-time,Hyderabad,2024-08-26
CUST00105,Occasional,Pune,2024-01-24
CUST00106,Occasional,Pune,2025-01-06
CUST00107,Regular,Delhi NCR,2024-12-03
