customer_id,last_order,frequency,monetary,recency,R_score,F_score,M_score,RFM_sum,segment,region,segment_true
CUST00001,2025-04-30,11,218097.93,245,2,3,3,8,At Risk,Hyderabad,Occasional
CUST00002,2025-12-19,20,267742.55,12,5,5,4,14,Champions,Bengaluru,Regular
CUST00003,2025-05-25,2,28819.489999999998,220,2,1,1,4,Lost,Delhi NCR,One-time
CUST00004,2024-11-24,12,142304.36,402,1,4,3,8,At Risk,Hyderabad,Occasional
CUST00005,2025-12-11,30,709922.25,20,4,5,5,14,Champions,Mumbai,Loyal
CUST00006,2025-02-17,2,40428.24,317,2,1,1,4,Lost,Hyderabad,One-time
CUST00007,2025-12-01,6,190575.45,30,4,2,3,9,New / Promising,Bengaluru,Occasional
CUST00008,2025-12-15,13,230728.08,16,5,4,3,12,Loyal Customers,Mumbai,Occasional
CUST00009,2025-12-17,32,546647.25,14,5,5,5,15,Champions,Mumbai,Loyal
CUST00010,2025-11-16,14,359450.18,45,4,4,4,12,Champions,Hyderabad,Regular
CUST00011,2025-12-27,16,370314.19999999995,4,5,4,4,13,Champions,Delhi NCR,Regular
CUST00012,2024-12-16,1,27418.27,380,1,1,1,3,Lost,Chennai,One-time
CUST00013,2025-11-02,7,124169.84,59,3,2,2,7,Needs Attention,Hyderabad,Occasional
CUST00014,2025-03-02,1,20843.8,304,2,1,1,4,Lost,Pune,One-time
CUST00015,2025-12-22,13,262323.33999999997,9,5,4,4,13,Champions,Delhi NCR,Regular
CUST00016,2025-10-01,9,366480.92,91,3,3,4,10,Loyal Customers,Pune,Regular
CUST00017,2025-10-06,5,33746.37,86,3,2,1,6,Needs Attention,Kolkata,Occasional
CUST00018,2025-12-27,16,264442.27,4,5,4,4,13,Champions,Mumbai,Loyal
CUST00019,2024-05-29,3,67564.68000000001,581,1,1,2,4,Lost,Delhi NCR,One-time
CUST00020,2025-09-26,1,977.93,96,3,1,1,5,Needs Attention,Delhi NCR,Occasional
CUST00021,2025-08-12,8,149246.73,141,3,3,3,9,Loyal Customers,Delhi NCR,Occasional
CUST00022,2025-11-12,7,118766.12,49,3,2,2,7,Needs Attention,Hyderabad,Regular
CUST00023,2025-09-05,5,86516.37,117,3,2,2,7,Needs Attention,Bengaluru,One-time
CUST00024,2025-01-23,1,31314.74,342,1,1,1,3,Lost,Bengaluru,One-time
CUST00025,2025-08-02,4,141624.82,151,3,2,3,8,Needs Attention,Delhi NCR,Occasional
CUST00026,2025-10-19,22,393013.36,73,3,5,4,12,Loyal Customers,Mumbai,Regular
CUST00027,2025-12-24,14,294411.46,7,5,4,4,13,Champions,Delhi NCR,Regular
CUST00028,2025-12-10,26,727459.61,21,4,5,5,14,Champions,Chennai,Loyal
CUST00029,2025-12-20,11,250958.05,11,5,3,4,12,Loyal Customers,Pune,Regular
CUST00030,2025-03-19,8,214617.2,287,2,3,3,8,At Risk,Delhi NCR,Occasional
CUST00031,2025-02-15,8,250931.05999999997,319,2,3,4,9,At Risk,Hyderabad,Occasional
CUST00032,2024-05-08,1,1730.42,602,1,1,1,3,Lost,Mumbai,One-time
CUST00033,2025-12-07,8,94355.42,24,4,3,2,9,Loyal Customers,Delhi NCR,Regular
CUST00034,2025-10-20,11,274295.33,72,3,3,4,10,Loyal Customers,Delhi NCR,Regular
CUST00035,2025-10-15,12,100256.86,77,3,4,2,9,Loyal Customers,Kolkata,Regular
CUST00036,2025-12-25,11,118321.67,6,5,3,2,10,Loyal Customers,Pune,Regular
CUST00037,2025-12-30,21,418152.81,1,5,5,5,15,Champions,Pune,Loyal
CUST00038,2025-11-18,8,84609.12,43,4,3,2,9,Loyal Customers,Mumbai,Regular
CUST00039,2025-03-14,11,222683.62,292,2,3,3,8,At Risk,Mumbai,Regular
